event_count,country_United_States,country_Saudi_Arabia,country_India,country_Britain,country_Italy,average_load_time,max_load_time,event_bench_load_success_count,event_profile_search_success_count,event_add_profile_success_count,event_upgrade_plan_count,event_pricing_model_count,event_profile_load_fail_count,event_email_receipt_count,platform_all_count,platform_brbench_count,platform_fb_count,platform_hashtags_count,platform_ig._count,platform_ig_count,platform_li_count,platform_meta_count,platform_nan_count,platform_tk_count,platform_tw_count,platform_xch_count,platform_yt_count,platform_total_count,view_add,view_addprofiles,view_ads,view_bench,view_benchmark,view_brands,view_campaigns,view_connect,view_hashtag,view_nan,view_page,view_postsfeed,view_profile,view_proj,view_projecthome,view_reports,view_search,view_settings,view_upgradeplan
53,0,0,0,0,0,0.2856666666666667,0.374,6,5,5,0,0,0,0,0,0,15,0,0,9,0,0,1,7,0,21,0,69.65966666666667,0,0,0,0,21,0,3,0,0,27,0,0,0,0,1,1,0,0,0
41,0,0,1,0,0,9.137333333333332,22.988,0,2,2,0,0,0,11,0,0,0,0,0,17,0,0,13,0,0,11,0,89.12533333333333,0,0,0,0,0,0,0,0,0,27,0,0,11,0,3,0,0,0,0
17,0,0,0,0,0,1.7895711805555556,3.283,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,0,5,0,32.07257118055556,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,1.0580697674418604,15.266,11,5,5,2,2,1,0,0,5,146,0,0,0,0,0,3,0,0,51,0,247.32406976744187,0,0,0,0,52,0,3,0,0,39,0,4,95,1,10,0,0,0,1
1,0,0,0,0,0,1.7895711805555556,3.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.072571180555555,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
650,0,0,1,0,0,3.556184,29.865,0,20,18,3,3,3,5,0,0,242,0,0,178,0,0,7,0,0,143,80,736.421184,0,0,0,0,0,44,0,0,0,113,0,0,462,0,31,0,0,0,0
28,0,0,1,0,0,1.7895711805555556,3.283,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,21,0,0,7,0,47.07257118055556,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,2.02,2.613,0,1,1,1,1,1,2,0,0,0,0,0,15,0,0,4,0,0,5,0,35.633,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0
31,0,0,0,0,0,1.068,1.068,1,5,3,0,0,0,1,0,0,0,0,0,0,11,0,4,0,0,16,0,43.136,0,0,0,0,3,0,0,0,0,25,0,0,1,0,2,0,0,0,0
144,0,0,0,0,0,4.820875,25.643,3,3,4,0,0,0,2,0,0,34,0,0,31,0,0,4,0,15,27,33,186.463875,0,0,0,0,11,0,4,0,0,28,0,0,92,0,9,0,0,0,0
63,0,0,0,1,0,1.716,1.917,2,3,5,0,0,0,12,0,0,5,0,0,10,0,1,20,6,0,22,0,90.633,0,0,0,0,6,0,1,0,0,48,0,0,0,0,6,3,0,0,0
3,0,0,1,0,0,1.7895711805555556,3.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,9.072571180555556,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
6,0,0,1,0,0,1.7895711805555556,3.283,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16.072571180555556,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
